customer_id,name,city,signup_date
1,Customer_1,Kolkata,2025-10-23
2,Customer_2,Hyderabad,2025-03-05
3,Customer_3,Jaipur,2022-04-08
4,Customer_4,Chennai,2022-04-09
5,Customer_5,Kolkata,2025-04-03
6,Customer_6,Lucknow,2022-06-18
7,Customer_7,Bangalore,2022-10-13
8,Customer_8,Kolkata,2025-07-21
9,Customer_9,Jaipur,2023-02-27
10,Customer_10,Chennai,2025-03-14
11,Customer_11,Hyderabad,2024-01-02
12,Customer_12,Jaipur,2025-07-11
13,Customer_13,Jaipur,2023-08-14
14,Customer_14,Bangalore,2023-10-06
15,Customer_15,Pune,2024-02-09
16,Customer_16,Chennai,2022-08-10
17,Customer_17,Mumbai,2025-09-26
18,Customer_18,Jaipur,2022-11-03
19,Customer_19,Pune,2024-07-12
20,Customer_20,Mumbai,2023-03-04
21,Customer_21,Chennai,2023-03-04
22,Customer_22,Delhi,2022-09-10
23,Customer_23,Lucknow,2022-01-24
24,Customer_24,Pune,2023-09-14
25,Customer_25,Ahmedabad,2022-03-10
26,Customer_26,Delhi,2025-10-30
27,Customer_27,Lucknow,2024-11-26
28,Customer_28,Bangalore,2023-09-24
29,Customer_29,Kolkata,2025-07-10
30,Customer_30,Hyderabad,2024-02-01
31,Customer_31,Ahmedabad,2023-07-14
32,Customer_32,Bangalore,2025-12-19
33,Customer_33,Chennai,2024-09-28
34,Customer_34,Bangalore,2024-06-17
35,Customer_35,Kolkata,2024-12-19
36,Customer_36,Chennai,2022-04-13
37,Customer_37,Ahmedabad,2022-02-03
38,Customer_38,Kolkata,2023-04-29
39,Customer_39,Mumbai,2025-09-13
40,Customer_40,Hyderabad,2023-12-21
41,Customer_41,Ahmedabad,2022-12-28
42,Customer_42,Mumbai,2024-04-25
43,Customer_43,Lucknow,2022-08-15
44,Customer_44,Ahmedabad,2024-08-30
45,Customer_45,Lucknow,2023-03-03
46,Customer_46,Chennai,2025-11-15
47,Customer_47,Mumbai,2024-12-14
48,Customer_48,Hyderabad,2022-11-17
49,Customer_49,Kolkata,2022-09-13
50,Customer_50,Jaipur,2022-07-05
51,Customer_51,Bangalore,2024-01-19
52,Customer_52,Delhi,2022-08-23
53,Customer_53,Hyderabad,2022-11-05
54,Customer_54,Mumbai,2022-05-28
55,Customer_55,Jaipur,2024-10-14
56,Customer_56,Hyderabad,2025-03-13
57,Customer_57,Mumbai,2024-09-19
58,Customer_58,Pune,2025-12-10
59,Customer_59,Pune,2024-12-25
60,Customer_60,Lucknow,2025-06-05
61,Customer_61,Hyderabad,2023-11-02
62,Customer_62,Pune,2023-04-13
63,Customer_63,Mumbai,2023-02-22
64,Customer_64,Lucknow,2023-01-15
65,Customer_65,Mumbai,2023-07-10
66,Customer_66,Lucknow,2023-12-18
67,Customer_67,Hyderabad,2025-08-25
68,Customer_68,Jaipur,2024-07-05
69,Customer_69,Kolkata,2025-03-14
70,Customer_70,Ahmedabad,2023-04-08
71,Customer_71,Jaipur,2023-10-24
72,Customer_72,Chennai,2022-05-17
73,Customer_73,Mumbai,2024-02-16
74,Customer_74,Chennai,2024-06-01
75,Customer_75,Jaipur,2023-03-11
76,Customer_76,Lucknow,2025-04-12
77,Customer_77,Ahmedabad,2024-07-18
78,Customer_78,Ahmedabad,2025-09-18
79,Customer_79,Delhi,2024-08-01
80,Customer_80,Ahmedabad,2023-12-20
81,Customer_81,Kolkata,2025-02-25
82,Customer_82,Ahmedabad,2025-07-25
83,Customer_83,Jaipur,2024-11-05
84,Customer_84,Delhi,2023-09-22
85,Customer_85,Jaipur,2023-03-24
86,Customer_86,Jaipur,2022-08-23
87,Customer_87,Bangalore,2024-09-12
88,Customer_88,Delhi,2024-07-02
89,Customer_89,Jaipur,2023-10-27
90,Customer_90,Bangalore,2022-10-08
91,Customer_91,Bangalore,2025-10-21
92,Customer_92,Delhi,2022-08-05
93,Customer_93,Chennai,2022-10-09
94,Customer_94,Lucknow,2024-08-24
95,Customer_95,Kolkata,2023-02-17
96,Customer_96,Lucknow,2022-06-27
97,Customer_97,Ahmedabad,2022-07-27
98,Customer_98,Kolkata,2023-01-06
99,Customer_99,Ahmedabad,2022-06-16
100,Customer_100,Jaipur,2024-09-30
101,Customer_101,Mumbai,2025-04-18
102,Customer_102,Delhi,2023-10-24
103,Customer_103,Kolkata,2025-09-19
104,Customer_104,Kolkata,2023-05-29
105,Customer_105,Jaipur,2024-03-03
106,Customer_106,Chennai,2022-10-17
107,Customer_107,Bangalore,2022-05-21
108,Customer_108,Jaipur,2024-02-13
109,Customer_109,Pune,2023-02-14
110,Customer_110,Bangalore,2024-01-29
111,Customer_111,Delhi,2022-04-22
112,Customer_112,Bangalore,2023-01-30
113,Customer_113,Chennai,2023-02-21
114,Customer_114,Bangalore,2023-10-14
115,Customer_115,Delhi,2023-10-20
116,Customer_116,Chennai,2022-12-06
117,Customer_117,Lucknow,2025-06-20
118,Customer_118,Kolkata,2023-08-03
119,Customer_119,Kolkata,2023-08-01
120,Customer_120,Ahmedabad,2024-05-30
121,Customer_121,Lucknow,2025-10-16
122,Customer_122,Lucknow,2023-06-08
123,Customer_123,Bangalore,2023-04-16
124,Customer_124,Kolkata,2024-11-22
125,Customer_125,Delhi,2022-04-04
126,Customer_126,Hyderabad,2024-01-04
127,Customer_127,Hyderabad,2022-04-18
128,Customer_128,Chennai,2025-04-25
129,Customer_129,Kolkata,2024-05-11
